KEY: his, VALUE: 1
KEY: exhausting, VALUE: 1
KEY: of, VALUE: 4
KEY: in, VALUE: 1
KEY: tells, VALUE: 1
KEY: what, VALUE: 1
KEY: work, VALUE: 2
KEY: Cipher, VALUE: 1
KEY: embodied, VALUE: 1
KEY: deciphering, VALUE: 1
KEY: arduous, VALUE: 1
KEY: discovery, VALUE: 1
KEY: found, VALUE: 1
KEY: prolonged, VALUE: 1
KEY: Bi-literal, VALUE: 1
KEY: been, VALUE: 1
KEY: has, VALUE: 1
KEY: Bacon, VALUE: 1
KEY: the, VALUE: 4
KEY: and, VALUE: 2
KEY: a, VALUE: 1
KEY: it, VALUE: 1
KEY: Francis, VALUE: 1
KEY: existence, VALUE: 1
